name,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,longitude,latitude,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name,ExtendedData/Data/14/value,ExtendedData/Data/14/_name,ExtendedData/Data/15/value,ExtendedData/Data/15/_name,ExtendedData/Data/16/value,ExtendedData/Data/16/_name,ExtendedData/Data/17/value,ExtendedData/Data/17/_name,ExtendedData/Data/18/value,ExtendedData/Data/18/_name,description
Covenant School,node/353922579,@id,school,amenity,201,ele,081,gnis:county_id,04/14/1980,gnis:created,623915,gnis:feature_id,26,gnis:state_id,Covenant School,name,-85.7783677,42.9397477,,,,,,,,,,,,,,,,,,,,,,,
Wellspring Preparatory High School,node/353922771,@id,Grand Rapids,addr:city,1031,addr:housenumber,49505,addr:postcode,MI,addr:state,Page Street Northeast,addr:street,school,amenity,235,ele,-85.6433637,42.986971,081,gnis:county_id,04/14/1980,gnis:created,624056,gnis:feature_id,26,gnis:state_id,Wellspring Preparatory High School,name,https://www.nhaschools.com/schools/wellspring-prep-high-school/en,website,yes,wheelchair,,,,,,,,,
Crestview School,node/353923052,@id,school,amenity,210,ele,081,gnis:county_id,04/14/1980,gnis:created,624058,gnis:feature_id,26,gnis:state_id,Crestview School,name,-85.655865,43.0116928,,,,,,,,,,,,,,,,,,,,,,,
Cummings School,node/353925084,@id,school,amenity,222,ele,081,gnis:county_id,04/14/1980,gnis:created,624211,gnis:feature_id,26,gnis:state_id,Cummings School,name,-85.7735065,42.9601563,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Christian High School,node/353925629,@id,school,amenity,232,ele,081,gnis:county_id,04/14/1980,gnis:created,625191,gnis:feature_id,26,gnis:state_id,Grand Rapids Christian High School,name,-85.6222498,42.921417,Q5594999,wikidata,,,,,,,,,,,,,,,,,,,,,
Delaney School,node/353925800,@id,school,amenity,217,ele,139,gnis:county_id,04/14/1980,gnis:created,624521,gnis:feature_id,26,gnis:state_id,Delaney School,name,-85.8042032,42.9741913,,,,,,,,,,,,,,,,,,,,,,,
Eastern School,node/353929147,@id,school,amenity,220,ele,081,gnis:county_id,04/14/1980,gnis:created,625283,gnis:feature_id,26,gnis:state_id,Eastern School,name,-85.6489192,42.9766934,,,,,,,,,,,,,,,,,,,,,,,
Grandville East Elementary,node/353929201,@id,school,amenity,187,ele,081,gnis:county_id,04/14/1980,gnis:created,625258,gnis:feature_id,26,gnis:state_id,Grandville East Elementary,name,-85.7494768,42.9105819,,,,,,,,,,,,,,,,,,,,,,,
Egypt Valley School,node/353929395,@id,school,amenity,216,ele,081,gnis:county_id,04/14/1980,gnis:created,625405,gnis:feature_id,26,gnis:state_id,Egypt Valley School,name,-85.5136371,43.0150285,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills School,node/353932203,@id,school,amenity,211,ele,081,gnis:county_id,04/14/1980,gnis:created,626269,gnis:feature_id,26,gnis:state_id,Forest Hills School,name,-85.5058386,42.9207949,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills High School,node/353932211,@id,school,amenity,244,ele,081,gnis:county_id,04/14/1980,gnis:created,626268,gnis:feature_id,26,gnis:state_id,Forest Hills High School,name,-85.5244687,42.9439181,,,,,,,,,,,,,,,,,,,,,,,
Franklin School,node/353932406,@id,school,amenity,203,ele,081,gnis:county_id,04/14/1980,gnis:created,626425,gnis:feature_id,26,gnis:state_id,Franklin School,name,-85.6800307,42.9489156,,,,,,,,,,,,,,,,,,,,,,,
Godwin School,node/353934229,@id,school,amenity,205,ele,081,gnis:county_id,04/14/1980,gnis:created,626915,gnis:feature_id,26,gnis:state_id,Godwin School,name,-85.6805849,42.899472,,,,,,,,,,,,,,,,,,,,,,,
Gladiola School,node/353934257,@id,school,amenity,207,ele,081,gnis:county_id,04/14/1980,gnis:created,626856,gnis:feature_id,26,gnis:state_id,Gladiola School,name,-85.7128085,42.901416,,,,,,,,,,,,,,,,,,,,,,,
